Season,HomeTeam,AwayTeam,1HHG,1HAG,1HR,2HHG,2HAG,2HR,FTHG,FTAG,FTR,1HSumGoals,2HSumGoals,FTSumGoals,1HScore,2HScore,FTScore,2.5,Winner,BothScored,2.5/Winner,2.5/BothScored,Winner/BothScored,Result,HalfTvsFullT,2.5/Winner/BothScored
2016-17,Sunderland,West Brom,0,1,2,1,0,1,1,1,X,1,1,2,0:1,1:0,1:1,-2.5,X,yes,-2.5/X,-2.5/yes,X/yes,1:1,2/X,-2.5/X/yes
2016-17,Swansea,Liverpool,1,0,1,0,2,2,1,2,2,1,2,3,1:0,0:2,1:2,2.5,2,yes,+2.5/2,+2.5/yes,2/yes,2:1,1/2,+2.5/2/yes
2016-17,Watford,Bournemouth,0,1,2,2,1,1,2,2,X,1,3,4,0:1,2:1,2:2,2.5,X,yes,+2.5/X,+2.5/yes,X/yes,2:2,2/X,+2.5/X/yes
2016-17,West Ham,Middlesbrough,0,0,X,1,1,X,1,1,X,0,2,2,0:0,1:1,1:1,-2.5,X,yes,-2.5/X,-2.5/yes,X/yes,1:1,X/X,-2.5/X/yes
2016-17,Burnley,Arsenal,0,0,X,0,1,2,0,1,2,0,1,1,0:0,0:1,0:1,-2.5,2,no,-2.5/2,-2.5/no,2/no,1:0,X/2,-2.5/2/no
2016-17,Leicester,Southampton,0,0,X,0,0,X,0,0,X,0,0,0,0:0,0:0,0:0,-2.5,X,no,-2.5/X,-2.5/no,X/no,0:0,X/X,-2.5/X/no
2016-17,Man United,Stoke,0,0,X,1,1,X,1,1,X,0,2,2,0:0,1:1,1:1,-2.5,X,yes,-2.5/X,-2.5/yes,X/yes,1:1,X/X,-2.5/X/yes
2016-17,Tottenham,Man City,2,0,1,0,0,X,2,0,1,2,0,2,2:0,0:0,2:0,-2.5,1,no,-2.5/1,-2.5/no,1/no,2:0,1/1,-2.5/1/no
2016-17,Arsenal,Swansea,2,1,1,1,1,X,3,2,1,3,2,5,2:1,1:1,3:2,2.5,1,yes,+2.5/1,+2.5/yes,1/yes,3:2,1/1,+2.5/1/yes
2016-17,Bournemouth,Hull,3,1,1,3,0,1,6,1,1,4,3,7,3:1,3:0,6:1,2.5,1,yes,+2.5/1,+2.5/yes,1/yes,6:1,1/1,+2.5/1/yes
