,Season;HomeTeam;AwayTeam;1HHG;1HAG;1HR;2HHG;2HAG;2HR;FTHG;FTAG;FTR;1HSumGoals;2HSumGoals;FTSumGoals;1HR;2HR;FTR;2.5;Winner;BothScored;2.5/Winner;2.5/BothScored;Winner/BothScored;Result
28,2008-09;Sunderland;Man City;0;1;2;0;2;2;0;3;2;1;2;3;0:1;0:2;0:3;+2.5;2;no;+2.5/2;+2.5/no;2/no;3:0
29,2008-09;Blackburn;Arsenal;0;2;2;0;2;2;0;4;2;2;2;4;0:2;0:2;0:4;+2.5;2;no;+2.5/2;+2.5/no;2/no;4:0
30,2008-09;Fulham;Bolton;2;0;1;0;1;2;2;1;1;2;1;3;2:0;0:1;2:1;+2.5;1;yes;+2.5/1;+2.5/yes;1/yes;2:1
31,2008-09;Liverpool;Man United;1;1;0;1;0;1;2;1;1;2;1;3;1:1;1:0;2:1;+2.5;1;yes;+2.5/1;+2.5/yes;1/yes;2:1
32,2008-09;Man City;Chelsea;1;1;0;0;2;2;1;3;2;2;2;4;1:1;0:2;1:3;+2.5;2;yes;+2.5/2;+2.5/yes;2/yes;3:1
33,2008-09;Newcastle;Hull;0;1;2;1;1;0;1;2;2;1;2;3;0:1;1:1;1:2;+2.5;2;yes;+2.5/2;+2.5/yes;2/yes;2:1
34,2008-09;Portsmouth;Middlesbrough;0;1;2;2;0;1;2;1;1;1;2;3;0:1;2:0;2:1;+2.5;1;yes;+2.5/1;+2.5/yes;1/yes;2:1
35,2008-09;West Brom;West Ham;2;2;0;1;0;1;3;2;1;4;1;5;2:2;1:0;3:2;+2.5;1;yes;+2.5/1;+2.5/yes;1/yes;3:2
36,2008-09;Wigan;Sunderland;0;1;2;1;0;1;1;1;0;1;1;2;0:1;1:0;1:1;-2.5;0;yes;-2.5/0;-2.5/yes;0/yes;1:1
37,2008-09;Stoke;Everton;0;1;2;2;2;0;2;3;2;1;4;5;0:1;2:2;2:3;+2.5;2;yes;+2.5/2;+2.5/yes;2/yes;3:2
38,2008-09;Tottenham;Aston Villa;0;1;2;1;1;0;1;2;2;1;2;3;0:1;1:1;1:2;+2.5;2;yes;+2.5/2;+2.5/yes;2/yes;2:1
39,2008-09;Blackburn;Fulham;0;0;0;1;0;1;1;0;1;0;1;1;0:0;1:0;1:0;-2.5;1;no;-2.5/1;-2.5/no;1/no;1:0
40,2008-09;Bolton;Arsenal;1;2;2;0;1;2;1;3;2;3;1;4;1:2;0:1;1:3;+2.5;2;yes;+2.5/2;+2.5/yes;2/yes;3:1
41,2008-09;Liverpool;Stoke;0;0;0;0;0;0;0;0;0;0;0;0;0:0;0:0;0:0;-2.5;0;no;-2.5/0;-2.5/no;0/no;0:0
42,2008-09;Sunderland;Middlesbrough;0;0;0;2;0;1;2;0;1;0;2;2;0:0;2:0;2:0;-2.5;1;no;-2.5/1;-2.5/no;1/no;2:0
43,2008-09;West Ham;Newcastle;2;0;1;1;1;0;3;1;1;2;2;4;2:0;1:1;3:1;+2.5;1;yes;+2.5/1;+2.5/yes;1/yes;3:1
44,2008-09;Chelsea;Man United;0;1;2;1;0;1;1;1;0;1;1;2;0:1;1:0;1:1;-2.5;0;yes;-2.5/0;-2.5/yes;0/yes;1:1
45,2008-09;Hull;Everton;1;0;1;1;2;2;2;2;0;1;3;4;1:0;1:2;2:2;+2.5;0;yes;+2.5/0;+2.5/yes;0/yes;2:2
46,2008-09;Man City;Portsmouth;2;0;1;4;0;1;6;0;1;2;4;6;2:0;4:0;6:0;+2.5;1;no;+2.5/1;+2.5/no;1/no;6:0
