,Season;HomeTeam;AwayTeam;1HHG;1HAG;1HR;2HHG;2HAG;2HR;FTHG;FTAG;FTR;1HSumGoals;2HSumGoals;FTSumGoals;1HR;2HR;FTR;2.5;Winner;BothScored;2.5/Winner;2.5/BothScored;Winner/BothScored;Result
809,2010-11;Wigan;Man City;0;1;2;0;1;2;0;2;2;1;1;2;0:1;0:1;0:2;-2.5;2;no;-2.5/2;-2.5/no;2/no;2:0
810,2010-11;Arsenal;West Brom;0;0;0;2;3;2;2;3;2;0;5;5;0:0;2:3;2:3;+2.5;2;yes;+2.5/2;+2.5/yes;2/yes;3:2
811,2010-11;Birmingham;Wigan;0;0;0;0;0;0;0;0;0;0;0;0;0:0;0:0;0:0;-2.5;0;no;-2.5/0;-2.5/no;0/no;0:0
812,2010-11;Blackpool;Blackburn;0;1;2;1;1;0;1;2;2;1;2;3;0:1;1:1;1:2;+2.5;2;yes;+2.5/2;+2.5/yes;2/yes;2:1
813,2010-11;Fulham;Everton;0;0;0;0;0;0;0;0;0;0;0;0;0:0;0:0;0:0;-2.5;0;no;-2.5/0;-2.5/no;0/no;0:0
814,2010-11;Liverpool;Sunderland;1;1;0;1;1;0;2;2;0;2;2;4;1:1;1:1;2:2;+2.5;0;yes;+2.5/0;+2.5/yes;0/yes;2:2
815,2010-11;Man City;Chelsea;0;0;0;1;0;1;1;0;1;0;1;1;0:0;1:0;1:0;-2.5;1;no;-2.5/1;-2.5/no;1/no;1:0
816,2010-11;West Ham;Tottenham;1;0;1;0;0;0;1;0;1;1;0;1;1:0;0:0;1:0;-2.5;1;no;-2.5/1;-2.5/no;1/no;1:0
817,2010-11;Bolton;Man United;1;1;0;1;1;0;2;2;0;2;2;4;1:1;1:1;2:2;+2.5;0;yes;+2.5/0;+2.5/yes;0/yes;2:2
818,2010-11;Newcastle;Stoke;1;0;1;0;2;2;1;2;2;1;2;3;1:0;0:2;1:2;+2.5;2;yes;+2.5/2;+2.5/yes;2/yes;2:1
819,2010-11;Wolves;Aston Villa;0;1;2;1;1;0;1;2;2;1;2;3;0:1;1:1;1:2;+2.5;2;yes;+2.5/2;+2.5/yes;2/yes;2:1
820,2010-11;Birmingham;Everton;0;0;0;0;2;2;0;2;2;0;2;2;0:0;0:2;0:2;-2.5;2;no;-2.5/2;-2.5/no;2/no;2:0
821,2010-11;Stoke;Blackburn;0;0;0;1;0;1;1;0;1;0;1;1;0:0;1:0;1:0;-2.5;1;no;-2.5/1;-2.5/no;1/no;1:0
822,2010-11;Sunderland;Man United;0;0;0;0;0;0;0;0;0;0;0;0;0:0;0:0;0:0;-2.5;0;no;-2.5/0;-2.5/no;0/no;0:0
823,2010-11;Tottenham;Aston Villa;1;1;0;1;0;1;2;1;1;2;1;3;1:1;1:0;2:1;+2.5;1;yes;+2.5/1;+2.5/yes;1/yes;2:1
824,2010-11;West Brom;Bolton;0;0;0;1;1;0;1;1;0;0;2;2;0:0;1:1;1:1;-2.5;0;yes;-2.5/0;-2.5/yes;0/yes;1:1
825,2010-11;West Ham;Fulham;0;1;2;1;0;1;1;1;0;1;1;2;0:1;1:0;1:1;-2.5;0;yes;-2.5/0;-2.5/yes;0/yes;1:1
826,2010-11;Wigan;Wolves;0;0;0;2;0;1;2;0;1;0;2;2;0:0;2:0;2:0;-2.5;1;no;-2.5/1;-2.5/no;1/no;2:0
827,2010-11;Chelsea;Arsenal;1;0;1;1;0;1;2;0;1;1;1;2;1:0;1:0;2:0;-2.5;1;no;-2.5/1;-2.5/no;1/no;2:0
828,2010-11;Liverpool;Blackpool;0;2;2;1;0;1;1;2;2;2;1;3;0:2;1:0;1:2;+2.5;2;yes;+2.5/2;+2.5/yes;2/yes;2:1
829,2010-11;Man City;Newcastle;1;1;0;1;0;1;2;1;1;2;1;3;1:1;1:0;2:1;+2.5;1;yes;+2.5/1;+2.5/yes;1/yes;2:1
830,2010-11;Arsenal;Birmingham;1;1;0;1;0;1;2;1;1;2;1;3;1:1;1:0;2:1;+2.5;1;yes;+2.5/1;+2.5/yes;1/yes;2:1
831,2010-11;Aston Villa;Chelsea;0;0;0;0;0;0;0;0;0;0;0;0;0:0;0:0;0:0;-2.5;0;no;-2.5/0;-2.5/no;0/no;0:0
832,2010-11;Bolton;Stoke;1;0;1;1;1;0;2;1;1;1;2;3;1:0;1:1;2:1;+2.5;1;yes;+2.5/1;+2.5/yes;1/yes;2:1
833,2010-11;Fulham;Tottenham;1;1;0;0;1;2;1;2;2;2;1;3;1:1;0:1;1:2;+2.5;2;yes;+2.5/2;+2.5/yes;2/yes;2:1
834,2010-11;Man United;West Brom;2;0;1;0;2;2;2;2;0;2;2;4;2:0;0:2;2:2;+2.5;0;yes;+2.5/0;+2.5/yes;0/yes;2:2
835,2010-11;Newcastle;Wigan;0;2;2;2;0;1;2;2;0;2;2;4;0:2;2:0;2:2;+2.5;0;yes;+2.5/0;+2.5/yes;0/yes;2:2
836,2010-11;Wolves;West Ham;1;0;1;0;1;2;1;1;0;1;1;2;1:0;0:1;1:1;-2.5;0;yes;-2.5/0;-2.5/yes;0/yes;1:1
837,2010-11;Blackpool;Man City;0;0;0;2;3;2;2;3;2;0;5;5;0:0;2:3;2:3;+2.5;2;yes;+2.5/2;+2.5/yes;2/yes;3:2
838,2010-11;Everton;Liverpool;1;0;1;1;0;1;2;0;1;1;1;2;1:0;1:0;2:0;-2.5;1;no;-2.5/1;-2.5/no;1/no;2:0
839,2010-11;Blackburn;Sunderland;0;0;0;0;0;0;0;0;0;0;0;0;0:0;0:0;0:0;-2.5;0;no;-2.5/0;-2.5/no;0/no;0:0
840,2010-11;Birmingham;Blackpool;1;0;1;1;0;1;2;0;1;1;1;2;1:0;1:0;2:0;-2.5;1;no;-2.5/1;-2.5/no;1/no;2:0
841,2010-11;Chelsea;Wolves;1;0;1;1;0;1;2;0;1;1;1;2;1:0;1:0;2:0;-2.5;1;no;-2.5/1;-2.5/no;1/no;2:0
842,2010-11;Sunderland;Aston Villa;1;0;1;0;0;0;1;0;1;1;0;1;1:0;0:0;1:0;-2.5;1;no;-2.5/1;-2.5/no;1/no;1:0
843,2010-11;Tottenham;Everton;1;1;0;0;0;0;1;1;0;2;0;2;1:1;0:0;1:1;-2.5;0;yes;-2.5/0;-2.5/yes;0/yes;1:1
844,2010-11;West Brom;Fulham;2;1;1;0;0;0;2;1;1;3;0;3;2:1;0:0;2:1;+2.5;1;yes;+2.5/1;+2.5/yes;1/yes;2:1
845,2010-11;West Ham;Newcastle;1;1;0;0;1;2;1;2;2;2;1;3;1:1;0:1;1:2;+2.5;2;yes;+2.5/2;+2.5/yes;2/yes;2:1
846,2010-11;Wigan;Bolton;0;0;0;1;1;0;1;1;0;0;2;2;0:0;1:1;1:1;-2.5;0;yes;-2.5/0;-2.5/yes;0/yes;1:1
847,2010-11;Liverpool;Blackburn;0;0;0;2;1;1;2;1;1;0;3;3;0:0;2:1;2:1;+2.5;1;yes;+2.5/1;+2.5/yes;1/yes;2:1
848,2010-11;Man City;Arsenal;0;1;2;0;2;2;0;3;2;1;2;3;0:1;0:2;0:3;+2.5;2;no;+2.5/2;+2.5/no;2/no;3:0
849,2010-11;Stoke;Man United;0;1;2;1;1;0;1;2;2;1;2;3;0:1;1:1;1:2;+2.5;2;yes;+2.5/2;+2.5/yes;2/yes;2:1
850,2010-11;Arsenal;West Ham;0;0;0;1;0;1;1;0;1;0;1;1;0:0;1:0;1:0;-2.5;1;no;-2.5/1;-2.5/no;1/no;1:0
851,2010-11;Blackburn;Chelsea;1;1;0;0;1;2;1;2;2;2;1;3;1:1;0:1;1:2;+2.5;2;yes;+2.5/2;+2.5/yes;2/yes;2:1
852,2010-11;Everton;Stoke;0;0;0;1;0;1;1;0;1;0;1;1;0:0;1:0;1:0;-2.5;1;no;-2.5/1;-2.5/no;1/no;1:0
853,2010-11;Fulham;Wigan;2;0;1;0;0;0;2;0;1;2;0;2;2:0;0:0;2:0;-2.5;1;no;-2.5/1;-2.5/no;1/no;2:0
854,2010-11;Man United;Tottenham;1;0;1;1;0;1;2;0;1;1;1;2;1:0;1:0;2:0;-2.5;1;no;-2.5/1;-2.5/no;1/no;2:0
855,2010-11;Wolves;Man City;1;1;0;1;0;1;2;1;1;2;1;3;1:1;1:0;2:1;+2.5;1;yes;+2.5/1;+2.5/yes;1/yes;2:1
856,2010-11;Aston Villa;Birmingham;0;0;0;0;0;0;0;0;0;0;0;0;0:0;0:0;0:0;-2.5;0;no;-2.5/0;-2.5/no;0/no;0:0
857,2010-11;Bolton;Liverpool;0;0;0;0;1;2;0;1;2;0;1;1;0:0;0:1;0:1;-2.5;2;no;-2.5/2;-2.5/no;2/no;1:0
858,2010-11;Newcastle;Sunderland;3;0;1;2;1;1;5;1;1;3;3;6;3:0;2:1;5:1;+2.5;1;yes;+2.5/1;+2.5/yes;1/yes;5:1
859,2010-11;Blackpool;West Brom;1;0;1;1;1;0;2;1;1;1;2;3;1:0;1:1;2:1;+2.5;1;yes;+2.5/1;+2.5/yes;1/yes;2:1
860,2010-11;Birmingham;West Ham;0;0;0;2;2;0;2;2;0;0;4;4;0:0;2:2;2:2;+2.5;0;yes;+2.5/0;+2.5/yes;0/yes;2:2
861,2010-11;Blackburn;Wigan;0;0;0;2;1;1;2;1;1;0;3;3;0:0;2:1;2:1;+2.5;1;yes;+2.5/1;+2.5/yes;1/yes;2:1
862,2010-11;Blackpool;Everton;1;1;0;1;1;0;2;2;0;2;2;4;1:1;1:1;2:2;+2.5;0;yes;+2.5/0;+2.5/yes;0/yes;2:2
863,2010-11;Bolton;Tottenham;1;0;1;3;2;1;4;2;1;1;5;6;1:0;3:2;4:2;+2.5;1;yes;+2.5/1;+2.5/yes;1/yes;4:2
864,2010-11;Fulham;Aston Villa;0;1;2;1;0;1;1;1;0;1;1;2;0:1;1:0;1:1;-2.5;0;yes;-2.5/0;-2.5/yes;0/yes;1:1
865,2010-11;Man United;Wolves;1;0;1;1;1;0;2;1;1;1;2;3;1:0;1:1;2:1;+2.5;1;yes;+2.5/1;+2.5/yes;1/yes;2:1
866,2010-11;Sunderland;Stoke;1;0;1;1;0;1;2;0;1;1;1;2;1:0;1:0;2:0;-2.5;1;no;-2.5/1;-2.5/no;1/no;2:0
867,2010-11;Arsenal;Newcastle;0;1;2;0;0;0;0;1;2;1;0;1;0:1;0:0;0:1;-2.5;2;no;-2.5/2;-2.5/no;2/no;1:0
868,2010-11;Liverpool;Chelsea;2;0;1;0;0;0;2;0;1;2;0;2;2:0;0:0;2:0;-2.5;1;no;-2.5/1;-2.5/no;1/no;2:0
869,2010-11;West Brom;Man City;0;2;2;0;0;0;0;2;2;2;0;2;0:2;0:0;0:2;-2.5;2;no;-2.5/2;-2.5/no;2/no;2:0
870,2010-11;Stoke;Birmingham;1;0;1;2;2;0;3;2;1;1;4;5;1:0;2:2;3:2;+2.5;1;yes;+2.5/1;+2.5/yes;1/yes;3:2
871,2010-11;Tottenham;Sunderland;0;0;0;1;1;0;1;1;0;0;2;2;0:0;1:1;1:1;-2.5;0;yes;-2.5/0;-2.5/yes;0/yes;1:1
872,2010-11;Aston Villa;Blackpool;1;1;0;2;1;1;3;2;1;2;3;5;1:1;2:1;3:2;+2.5;1;yes;+2.5/1;+2.5/yes;1/yes;3:2
873,2010-11;Chelsea;Fulham;1;0;1;0;0;0;1;0;1;1;0;1;1:0;0:0;1:0;-2.5;1;no;-2.5/1;-2.5/no;1/no;1:0
874,2010-11;Everton;Bolton;0;0;0;1;1;0;1;1;0;0;2;2;0:0;1:1;1:1;-2.5;0;yes;-2.5/0;-2.5/yes;0/yes;1:1
875,2010-11;Man City;Man United;0;0;0;0;0;0;0;0;0;0;0;0;0:0;0:0;0:0;-2.5;0;no;-2.5/0;-2.5/no;0/no;0:0
876,2010-11;Newcastle;Blackburn;0;1;2;1;1;0;1;2;2;1;2;3;0:1;1:1;1:2;+2.5;2;yes;+2.5/2;+2.5/yes;2/yes;2:1
877,2010-11;West Ham;West Brom;1;1;0;1;1;0;2;2;0;2;2;4;1:1;1:1;2:2;+2.5;0;yes;+2.5/0;+2.5/yes;0/yes;2:2
878,2010-11;Wigan;Liverpool;0;1;2;1;0;1;1;1;0;1;1;2;0:1;1:0;1:1;-2.5;0;yes;-2.5/0;-2.5/yes;0/yes;1:1
879,2010-11;Wolves;Arsenal;0;1;2;0;1;2;0;2;2;1;1;2;0:1;0:1;0:2;-2.5;2;no;-2.5/2;-2.5/no;2/no;2:0
880,2010-11;Aston Villa;Man United;0;0;0;2;2;0;2;2;0;0;4;4;0:0;2:2;2:2;+2.5;0;yes;+2.5/0;+2.5/yes;0/yes;2:2
881,2010-11;Man City;Birmingham;0;0;0;0;0;0;0;0;0;0;0;0;0:0;0:0;0:0;-2.5;0;no;-2.5/0;-2.5/no;0/no;0:0
882,2010-11;Newcastle;Fulham;0;0;0;0;0;0;0;0;0;0;0;0;0:0;0:0;0:0;-2.5;0;no;-2.5/0;-2.5/no;0/no;0:0
883,2010-11;Stoke;Liverpool;0;0;0;2;0;1;2;0;1;0;2;2;0:0;2:0;2:0;-2.5;1;no;-2.5/1;-2.5/no;1/no;2:0
884,2010-11;Tottenham;Blackburn;2;0;1;2;2;0;4;2;1;2;4;6;2:0;2:2;4:2;+2.5;1;yes;+2.5/1;+2.5/yes;1/yes;4:2
885,2010-11;West Ham;Blackpool;0;0;0;0;0;0;0;0;0;0;0;0;0:0;0:0;0:0;-2.5;0;no;-2.5/0;-2.5/no;0/no;0:0
886,2010-11;Wigan;West Brom;0;0;0;1;0;1;1;0;1;0;1;1;0:0;1:0;1:0;-2.5;1;no;-2.5/1;-2.5/no;1/no;1:0
887,2010-11;Wolves;Bolton;0;1;2;2;2;0;2;3;2;1;4;5;0:1;2:2;2:3;+2.5;2;yes;+2.5/2;+2.5/yes;2/yes;3:2
888,2010-11;Chelsea;Sunderland;0;1;2;0;2;2;0;3;2;1;2;3;0:1;0:2;0:3;+2.5;2;no;+2.5/2;+2.5/no;2/no;3:0
889,2010-11;Everton;Arsenal;0;1;2;1;1;0;1;2;2;1;2;3;0:1;1:1;1:2;+2.5;2;yes;+2.5/2;+2.5/yes;2/yes;2:1
890,2010-11;Arsenal;Tottenham;2;0;1;0;3;2;2;3;2;2;3;5;2:0;0:3;2:3;+2.5;2;yes;+2.5/2;+2.5/yes;2/yes;3:2
891,2010-11;Birmingham;Chelsea;1;0;1;0;0;0;1;0;1;1;0;1;1:0;0:0;1:0;-2.5;1;no;-2.5/1;-2.5/no;1/no;1:0
892,2010-11;Blackpool;Wolves;2;0;1;0;1;2;2;1;1;2;1;3;2:0;0:1;2:1;+2.5;1;yes;+2.5/1;+2.5/yes;1/yes;2:1
893,2010-11;Bolton;Newcastle;2;0;1;3;1;1;5;1;1;2;4;6;2:0;3:1;5:1;+2.5;1;yes;+2.5/1;+2.5/yes;1/yes;5:1
894,2010-11;Liverpool;West Ham;3;0;1;0;0;0;3;0;1;3;0;3;3:0;0:0;3:0;+2.5;1;no;+2.5/1;+2.5/no;1/no;3:0
895,2010-11;Man United;Wigan;1;0;1;1;0;1;2;0;1;1;1;2;1:0;1:0;2:0;-2.5;1;no;-2.5/1;-2.5/no;1/no;2:0
896,2010-11;West Brom;Stoke;0;0;0;0;3;2;0;3;2;0;3;3;0:0;0:3;0:3;+2.5;2;no;+2.5/2;+2.5/no;2/no;3:0
897,2010-11;Blackburn;Aston Villa;1;0;1;1;0;1;2;0;1;1;1;2;1:0;1:0;2:0;-2.5;1;no;-2.5/1;-2.5/no;1/no;2:0
898,2010-11;Fulham;Man City;0;3;2;1;1;0;1;4;2;3;2;5;0:3;1:1;1:4;+2.5;2;yes;+2.5/2;+2.5/yes;2/yes;4:1
899,2010-11;Sunderland;Everton;1;1;0;1;1;0;2;2;0;2;2;4;1:1;1:1;2:2;+2.5;0;yes;+2.5/0;+2.5/yes;0/yes;2:2
900,2010-11;Aston Villa;Arsenal;0;2;2;2;2;0;2;4;2;2;4;6;0:2;2:2;2:4;+2.5;2;yes;+2.5/2;+2.5/yes;2/yes;4:2
901,2010-11;Bolton;Blackpool;0;1;2;2;1;1;2;2;0;1;3;4;0:1;2:1;2:2;+2.5;0;yes;+2.5/0;+2.5/yes;0/yes;2:2
902,2010-11;Everton;West Brom;1;2;2;0;2;2;1;4;2;3;2;5;1:2;0:2;1:4;+2.5;2;yes;+2.5/2;+2.5/yes;2/yes;4:1
903,2010-11;Fulham;Birmingham;0;1;2;1;0;1;1;1;0;1;1;2;0:1;1:0;1:1;-2.5;0;yes;-2.5/0;-2.5/yes;0/yes;1:1
904,2010-11;Man United;Blackburn;3;0;1;4;1;1;7;1;1;3;5;8;3:0;4:1;7:1;+2.5;1;yes;+2.5/1;+2.5/yes;1/yes;7:1
905,2010-11;Stoke;Man City;0;0;0;1;1;0;1;1;0;0;2;2;0:0;1:1;1:1;-2.5;0;yes;-2.5/0;-2.5/yes;0/yes;1:1
906,2010-11;West Ham;Wigan;1;0;1;2;1;1;3;1;1;1;3;4;1:0;2:1;3:1;+2.5;1;yes;+2.5/1;+2.5/yes;1/yes;3:1
907,2010-11;Wolves;Sunderland;0;0;0;3;2;1;3;2;1;0;5;5;0:0;3:2;3:2;+2.5;1;yes;+2.5/1;+2.5/yes;1/yes;3:2
908,2010-11;Newcastle;Chelsea;1;1;0;0;0;0;1;1;0;2;0;2;1:1;0:0;1:1;-2.5;0;yes;-2.5/0;-2.5/yes;0/yes;1:1
909,2010-11;Tottenham;Liverpool;0;1;2;2;0;1;2;1;1;1;2;3;0:1;2:0;2:1;+2.5;1;yes;+2.5/1;+2.5/yes;1/yes;2:1
910,2010-11;Arsenal;Fulham;1;1;0;1;0;1;2;1;1;2;1;3;1:1;1:0;2:1;+2.5;1;yes;+2.5/1;+2.5/yes;1/yes;2:1
911,2010-11;Birmingham;Tottenham;0;1;2;1;0;1;1;1;0;1;1;2;0:1;1:0;1:1;-2.5;0;yes;-2.5/0;-2.5/yes;0/yes;1:1
912,2010-11;Blackburn;Wolves;2;0;1;1;0;1;3;0;1;2;1;3;2:0;1:0;3:0;+2.5;1;no;+2.5/1;+2.5/no;1/no;3:0
913,2010-11;Chelsea;Everton;1;0;1;0;1;2;1;1;0;1;1;2;1:0;0:1;1:1;-2.5;0;yes;-2.5/0;-2.5/yes;0/yes;1:1
914,2010-11;Man City;Bolton;1;0;1;0;0;0;1;0;1;1;0;1;1:0;0:0;1:0;-2.5;1;no;-2.5/1;-2.5/no;1/no;1:0
915,2010-11;Wigan;Stoke;2;2;0;0;0;0;2;2;0;4;0;4;2:2;0:0;2:2;+2.5;0;yes;+2.5/0;+2.5/yes;0/yes;2:2
916,2010-11;Sunderland;West Ham;1;0;1;0;0;0;1;0;1;1;0;1;1:0;0:0;1:0;-2.5;1;no;-2.5/1;-2.5/no;1/no;1:0
917,2010-11;West Brom;Newcastle;1;0;1;2;1;1;3;1;1;1;3;4;1:0;2:1;3:1;+2.5;1;yes;+2.5/1;+2.5/yes;1/yes;3:1
918,2010-11;Liverpool;Aston Villa;2;0;1;1;0;1;3;0;1;2;1;3;2:0;1:0;3:0;+2.5;1;no;+2.5/1;+2.5/no;1/no;3:0
919,2010-11;Aston Villa;West Brom;1;0;1;1;1;0;2;1;1;1;2;3;1:0;1:1;2:1;+2.5;1;yes;+2.5/1;+2.5/yes;1/yes;2:1
920,2010-11;Everton;Wigan;0;0;0;0;0;0;0;0;0;0;0;0;0:0;0:0;0:0;-2.5;0;no;-2.5/0;-2.5/no;0/no;0:0
921,2010-11;Fulham;Sunderland;0;0;0;0;0;0;0;0;0;0;0;0;0:0;0:0;0:0;-2.5;0;no;-2.5/0;-2.5/no;0/no;0:0
922,2010-11;Newcastle;Liverpool;1;0;1;2;1;1;3;1;1;1;3;4;1:0;2:1;3:1;+2.5;1;yes;+2.5/1;+2.5/yes;1/yes;3:1
923,2010-11;Stoke;Blackpool;0;0;0;0;1;2;0;1;2;0;1;1;0:0;0:1;0:1;-2.5;2;no;-2.5/2;-2.5/no;2/no;1:0
924,2010-11;West Ham;Man City;0;1;2;1;2;2;1;3;2;1;3;4;0:1;1:2;1:3;+2.5;2;yes;+2.5/2;+2.5/yes;2/yes;3:1
925,2010-11;Bolton;Blackburn;0;0;0;2;1;1;2;1;1;0;3;3;0:0;2:1;2:1;+2.5;1;yes;+2.5/1;+2.5/yes;1/yes;2:1
926,2010-11;Tottenham;Chelsea;1;0;1;0;1;2;1;1;0;1;1;2;1:0;0:1;1:1;-2.5;0;yes;-2.5/0;-2.5/yes;0/yes;1:1
927,2010-11;Wolves;Birmingham;1;0;1;0;0;0;1;0;1;1;0;1;1:0;0:0;1:0;-2.5;1;no;-2.5/1;-2.5/no;1/no;1:0
928,2010-11;Man United;Arsenal;1;0;1;0;0;0;1;0;1;1;0;1;1:0;0:0;1:0;-2.5;1;no;-2.5/1;-2.5/no;1/no;1:0
929,2010-11;Blackburn;West Ham;0;0;0;1;1;0;1;1;0;0;2;2;0:0;1:1;1:1;-2.5;0;yes;-2.5/0;-2.5/yes;0/yes;1:1
930,2010-11;Sunderland;Bolton;1;0;1;0;0;0;1;0;1;1;0;1;1:0;0:0;1:0;-2.5;1;no;-2.5/1;-2.5/no;1/no;1:0
931,2010-11;Man City;Everton;0;2;2;1;0;1;1;2;2;2;1;3;0:2;1:0;1:2;+2.5;2;yes;+2.5/2;+2.5/yes;2/yes;2:1
932,2010-11;Aston Villa;Tottenham;0;1;2;1;1;0;1;2;2;1;2;3;0:1;1:1;1:2;+2.5;2;yes;+2.5/2;+2.5/yes;2/yes;2:1
933,2010-11;Blackburn;Stoke;0;0;0;0;2;2;0;2;2;0;2;2;0:0;0:2;0:2;-2.5;2;no;-2.5/2;-2.5/no;2/no;2:0
934,2010-11;Bolton;West Brom;1;0;1;1;0;1;2;0;1;1;1;2;1:0;1:0;2:0;-2.5;1;no;-2.5/1;-2.5/no;1/no;2:0
935,2010-11;Fulham;West Ham;1;2;2;0;1;2;1;3;2;3;1;4;1:2;0:1;1:3;+2.5;2;yes;+2.5/2;+2.5/yes;2/yes;3:1
936,2010-11;Man United;Sunderland;1;0;1;1;0;1;2;0;1;1;1;2;1:0;1:0;2:0;-2.5;1;no;-2.5/1;-2.5/no;1/no;2:0
937,2010-11;Newcastle;Man City;0;2;2;1;1;0;1;3;2;2;2;4;0:2;1:1;1:3;+2.5;2;yes;+2.5/2;+2.5/yes;2/yes;3:1
938,2010-11;Wolves;Wigan;0;2;2;1;0;1;1;2;2;2;1;3;0:2;1:0;1:2;+2.5;2;yes;+2.5/2;+2.5/yes;2/yes;2:1
939,2010-11;Arsenal;Chelsea;1;0;1;2;1;1;3;1;1;1;3;4;1:0;2:1;3:1;+2.5;1;yes;+2.5/1;+2.5/yes;1/yes;3:1
940,2010-11;Birmingham;Man United;0;0;0;1;1;0;1;1;0;0;2;2;0:0;1:1;1:1;-2.5;0;yes;-2.5/0;-2.5/yes;0/yes;1:1
941,2010-11;Man City;Aston Villa;3;0;1;1;0;1;4;0;1;3;1;4;3:0;1:0;4:0;+2.5;1;no;+2.5/1;+2.5/no;1/no;4:0
942,2010-11;Stoke;Fulham;0;2;2;0;0;0;0;2;2;2;0;2;0:2;0:0;0:2;-2.5;2;no;-2.5/2;-2.5/no;2/no;2:0
943,2010-11;Sunderland;Blackpool;0;0;0;0;2;2;0;2;2;0;2;2;0:0;0:2;0:2;-2.5;2;no;-2.5/2;-2.5/no;2/no;2:0
944,2010-11;Tottenham;Newcastle;0;0;0;2;0;1;2;0;1;0;2;2;0:0;2:0;2:0;-2.5;1;no;-2.5/1;-2.5/no;1/no;2:0
945,2010-11;West Brom;Blackburn;1;1;0;0;2;2;1;3;2;2;2;4;1:1;0:2;1:3;+2.5;2;yes;+2.5/2;+2.5/yes;2/yes;3:1
946,2010-11;West Ham;Everton;1;1;0;0;0;0;1;1;0;2;0;2;1:1;0:0;1:1;-2.5;0;yes;-2.5/0;-2.5/yes;0/yes;1:1
947,2010-11;Chelsea;Bolton;0;0;0;1;0;1;1;0;1;0;1;1;0:0;1:0;1:0;-2.5;1;no;-2.5/1;-2.5/no;1/no;1:0
948,2010-11;Liverpool;Wolves;0;0;0;0;1;2;0;1;2;0;1;1;0:0;0:1;0:1;-2.5;2;no;-2.5/2;-2.5/no;2/no;1:0
949,2010-11;Wigan;Arsenal;1;2;2;1;0;1;2;2;0;3;1;4;1:2;1:0;2:2;+2.5;0;yes;+2.5/0;+2.5/yes;0/yes;2:2
950,2010-11;Birmingham;Arsenal;0;1;2;0;2;2;0;3;2;1;2;3;0:1;0:2;0:3;+2.5;2;no;+2.5/2;+2.5/no;2/no;3:0
951,2010-11;Liverpool;Bolton;0;1;2;2;0;1;2;1;1;1;2;3;0:1;2:0;2:1;+2.5;1;yes;+2.5/1;+2.5/yes;1/yes;2:1
952,2010-11;Man City;Blackpool;1;0;1;0;0;0;1;0;1;1;0;1;1:0;0:0;1:0;-2.5;1;no;-2.5/1;-2.5/no;1/no;1:0
953,2010-11;Stoke;Everton;1;0;1;1;0;1;2;0;1;1;1;2;1:0;1:0;2:0;-2.5;1;no;-2.5/1;-2.5/no;1/no;2:0
954,2010-11;Sunderland;Blackburn;2;0;1;1;0;1;3;0;1;2;1;3;2:0;1:0;3:0;+2.5;1;no;+2.5/1;+2.5/no;1/no;3:0
955,2010-11;Tottenham;Fulham;1;0;1;0;0;0;1;0;1;1;0;1;1:0;0:0;1:0;-2.5;1;no;-2.5/1;-2.5/no;1/no;1:0
956,2010-11;West Brom;Man United;1;1;0;0;1;2;1;2;2;2;1;3;1:1;0:1;1:2;+2.5;2;yes;+2.5/2;+2.5/yes;2/yes;2:1
957,2010-11;West Ham;Wolves;0;0;0;2;0;1;2;0;1;0;2;2;0:0;2:0;2:0;-2.5;1;no;-2.5/1;-2.5/no;1/no;2:0
958,2010-11;Chelsea;Aston Villa;1;1;0;2;2;0;3;3;0;2;4;6;1:1;2:2;3:3;+2.5;0;yes;+2.5/0;+2.5/yes;0/yes;3:3
959,2010-11;Wigan;Newcastle;0;1;2;0;0;0;0;1;2;1;0;1;0:1;0:0;0:1;-2.5;2;no;-2.5/2;-2.5/no;2/no;1:0
960,2010-11;Blackpool;Birmingham;0;1;2;1;1;0;1;2;2;1;2;3;0:1;1:1;1:2;+2.5;2;yes;+2.5/2;+2.5/yes;2/yes;2:1
961,2010-11;Fulham;West Brom;1;0;1;2;0;1;3;0;1;1;2;3;1:0;2:0;3:0;+2.5;1;no;+2.5/1;+2.5/no;1/no;3:0
962,2010-11;Man United;Stoke;1;0;1;1;1;0;2;1;1;1;2;3;1:0;1:1;2:1;+2.5;1;yes;+2.5/1;+2.5/yes;1/yes;2:1
963,2010-11;Arsenal;Man City;0;0;0;0;0;0;0;0;0;0;0;0;0:0;0:0;0:0;-2.5;0;no;-2.5/0;-2.5/no;0/no;0:0
964,2010-11;Aston Villa;Sunderland;0;0;0;0;1;2;0;1;2;0;1;1;0:0;0:1;0:1;-2.5;2;no;-2.5/2;-2.5/no;2/no;1:0
965,2010-11;Blackburn;Liverpool;2;0;1;1;1;0;3;1;1;2;2;4;2:0;1:1;3:1;+2.5;1;yes;+2.5/1;+2.5/yes;1/yes;3:1
966,2010-11;Bolton;Wigan;0;0;0;1;1;0;1;1;0;0;2;2;0:0;1:1;1:1;-2.5;0;yes;-2.5/0;-2.5/yes;0/yes;1:1
967,2010-11;Everton;Tottenham;1;1;0;1;0;1;2;1;1;2;1;3;1:1;1:0;2:1;+2.5;1;yes;+2.5/1;+2.5/yes;1/yes;2:1
968,2010-11;Newcastle;West Ham;3;0;1;2;0;1;5;0;1;3;2;5;3:0;2:0;5:0;+2.5;1;no;+2.5/1;+2.5/no;1/no;5:0
